,Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Budget,Genres
0,Mr. Peabody & Sherman,111506430.0,22511139,",  , (Voice), Allison Janney* , Stephen Colbert , Ty Burrell, Patrick Warburton ",USA,0,145000000.0,Animation
1,Doogal,7417319.0,10957566,",  , (Voice), Jim Broadbent*, Bill Nighy* , Ian McKellen*","USA, UK, France",0,,Animation
2,Legend of the Guardians: The Owls of Ga'Hoole,55675313.0,5282850,",  , (Voice), Ryan Kwanten , Richard Roxburgh , David Wenham , Abbie Cornish","USA, Australia",0,80000000.0,Animation
3,Wreck-It Ralph,189422889.0,36182022,",  , (Voice), Sarah Silverman , John C. Reilly , Alan Tudyk* ",USA,0,165000000.0,Animation
4,Monsters University,268492764.0,47166338,",  , Alfred Molina*, Billy Crystal, Tyler Labine* , (Voice), Sean Hayes* , Aubrey Plaza*, Helen Mirren, John Goodman ",USA,1,,Animation
5,Cloudy with a Chance of Meatballs 2,119793567.0,20100028,",  , Andy Samberg*, Neil Patrick Harris*, Will Forte*, Benjamin Bratt*, Terry Crews* , (Voice), Bill Hader ",USA,0,78000000.0,Animation
6,Scary Movie 3,110003217.0,16607287,",  , Anna Faris, Leslie Nielsen, Simon Rex, Eddie Griffin* , Regina Hall, Anthony Anderson, Charlie Sheen, Kevin Hart","USA, Canada",0,48000000.0,Horror
7,Shrek Forever After,238736787.0,51056068,",  , Antonio Banderas, Cameron Diaz, (Voice), Jon Hamm*, Mike Myers, John Cleese* , Jane Lynch* , Eddie Murphy",USA,0,165000000.0,Animation
8,Shrek the Third,322719944.0,78167259,",  , Antonio Banderas, Cameron Diaz, Amy Poehler* , Eric Idle* , (Voice), Cheri Oteri* , Amy Sedaris* , Mike Myers, John Cleese* , Eddie Murphy, Julie Andrews*",USA,0,160000000.0,Animation
9,The Boxtrolls,50837305.0,13816528,",  , Ben Kingsley, (Voice), Toni Collette, Tracy Morgan, Elle Fanning ",USA,1,60000000.0,Animation
10,Racing Stripes,49772522.0,10830572,",  , Bruce Greenwood, Frankie Muniz, Michael Clarke Duncan*, (Voice), Steve Harvey , Mandy Moore, Hayden Panettiere, Snoop Dogg",USA,0,,Adventure
11,Marmaduke,33644788.0,9019305,",  , Christopher Mintz-Plasse, Lee Pace, Damon Wayans, Kiefer Sutherland, (Voice), Steve Coogan, Owen Wilson, Emma Stone*, Sam Elliott, Ron Perlman , Stacy Ferguson , William H. Macy",USA,1,50000000.0,Comedy
12,Yogi Bear,100246011.0,14569067,",  , Dan Aykroyd , Anna Faris","USA, New Zealand",0,80000000.0,Comedy
13,Madagascar: Escape 2 Africa,180010950.0,35471617,",  , David Schwimmer, (Voice), Sacha Baron Cohen, Ben Stiller, Chris Rock, Andy Richter , Cedric the Entertainer, Jada Pinkett-Smith",USA,1,150000000.0,Animation
14,Madagascar 3: Europe's Most Wanted,216391482.0,34211320,",  , David Schwimmer, (Voice), Sacha Baron Cohen, Ben Stiller, Chris Rock, Andy Richter , Cedric the Entertainer, Jada Pinkett-Smith",USA,1,145000000.0,Animation
15,Over the Hedge,155019340.0,24429407,",  , Garry Shandling , Wanda Sykes , (Voice), Bruce Willis",USA,0,,Animation
16,Big Hero 6,222404450.0,29426786,",  , Genesis Rodriguez , James Cromwell , (Voice), TJ Miller ",USA,0,165000000.0,Animation
17,How to Train Your Dragon,217581231.0,26488493,",  , Gerard Butler, (Voice), TJ Miller , Jay Baruchel, America Ferrera, Jonah Hill",USA,1,165000000.0,Animation
18,How to Train Your Dragon 2,177002924.0,41547592,",  , Gerard Butler, Craig Ferguson , (Voice), Jay Baruchel, Kristen Wiig, Kit Harington ",USA,1,145000000.0,Animation
19,Rango,123477607.0,2327609,",  , Harry Dean Stanton* , Ned Beatty* , (Voice), Abigail Breslin, Johnny Depp, Isla Fisher",USA,0,135000000.0,Animation
20,The Simpsons Movie,183135014.0,78426654,",  , Harry Shearer* , (Voice), Joe Mantegna* , Nancy Cartwright* , Dan Castellaneta* ",USA,0,75000000.0,Animation
21,Underdog,43760605.0,3038323,",  , Jason Lee , (Voice)",USA,0,,Comedy
22,Despicable Me,83320932.0,32283987,",  , Jason Segel, (Voice), Russell Brand, Steve Carell, Mindy Kaling*, Will Arnett* , Kristen Wiig*",USA,1,69000000.0,Animation
23,The Muppets,88631237.0,27029046,",  , Jason Segel, Zach Galifianakis*, Ken Jeong* , (Cameo), Emily Blunt*, Alan Arkin*, Rashida Jones, Jack Black*, Chris Cooper, Amy Adams, Kristen Schaal* , Whoopi Goldberg* ",USA,0,45000000.0,Comedy
