Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Genre,Budget
"10,000 B.C.",94784201,11349484,,USA,0,Adventure,105000000
12 Years a Slave,56671993,33011149,"Benedict Cumberbatch, Sarah Paulson, Brad Pitt, Michael Fassbender, ""Lupita Nyongo"", Paul Giamatti, Alfre Woodard, Chiwetel Ejiofor, Paul Dano","USA, UK",1,Drama,20000000
127 Hours,18335230,12513887,"Clemence Posey, James Franco, Treat Williams, Amber Tamblyn, Lizzy Caplan, Kate Mara","USA, UK",0,Drama,18000000
13 Going on 30,57231747,9346533,"Mark Ruffalo, Jennifer Garner",USA,0,Comedy,37000000
1408,71985628,6482080,"John Cusack, Samuel L. Jackson, Tony Shalhoub, Mary McCormack",USA,0,Horror,25000000
2 Fast 2 Furious,127154901,12527013,"Cole Hauser, ""Chris Ludacris Bridges"", Devon Aoki, Paul Walker, Eva Mendes, Michael Ealy*, Tyrese Gibson","USA, Germany",0,Action,76000000
2 Guns,75612460,6903295,"Bill Paxton, Fred Ward, Denzel Washington, James Marsden, Mark Wahlberg, Edward James Olmos, Paula Patton",USA,0,Action,61000000
21,81159365,10886989,"Kate Bosworth, Laurence Fishburne, Jim Sturgess, Kevin Spacey, Josh Gad",USA,1,Drama,35000000
21 Grams,16290476,4470545,"Naomi Watts, Melissa Leo*, Eddie Marsan*, Danny Huston, Benicio Del Toro, Sean Penn",USA,0,Drama,20000000
21 Jump Street,138447667,16045775,"Rob Riggle, Dave Franco, (Cameo), Ellie Kemper, Brie Larson, Chris Parnell*, Jonah Hill, Ice Cube, Jake Johnson*, Channing Tatum, Johnny Depp*",USA,0,Action,42000000
22 Jump Street,191719337,31490585,"Rob Riggle*, Peter Stormare, Channing Tatum, Nick Offerman, Jonah Hill, Ice Cube, Dave Franco*",USA,0,Action,50000000
25th Hour,13084595,940502,"Philip Seymour Hoffman, Rosario Dawson, Edward Norton, Brian Cox, Barry Pepper, Anna Paquin",USA,1,Drama,5000000
27 Dresses,76808654,13458037,"James Marsden, Katherine Heigl, Malin Akerman",USA,0,Comedy,30000000
3 Days to Kill,30697999,1236902,"Connie Nielsen, Hailee Steinfeld, Amber Heard, Kevin Costner","USA, France, Greece, Russia",0,Action,28000000
30 Days of Night,39568996,8815968,"Josh Hartnett, Ben Foster, Danny Huston, Melissa George","USA, New Zealand",0,Horror,30000000
300,210614939,27994700,"Gerard Butler, Dominic West, Michael Fassbender, Lena Headey, Rodrigo Santoro, David Wenham",USA,1,Action,65000000
300: Rise of An Empire,106580051,12925711,"Lena Headey, Rodrigo Santoro, David Wenham, Eva Green, ""Jack OConnell"", Sullivan Stapleton",USA,1,Action,110000000
3:10 to Yuma,53606916,2425312,"Ben Foster, Vinessa Shaw, Peter Fonda, Logan Lerman, Gretchen Mol, Christian Bale, Russell Crowe, Alan Tudyk, Luke Wilson*",USA,1,Western,55000000
47 Ronin,38362475,5282209,Keanu Reeves,USA,0,Action,175000000
