BOM_url,Title,Domestic_Total_Gross,Release_Date,Budget,UK_Total_Gross,Actors,Genre,Country,British,
http://www.boxofficemojo.com/movies/?id=10000bc.htm,"10,000 B.C.",94784201,3/7/08,105000000,11349484,['N/A'],Adventure,['USA'],0,
http://www.boxofficemojo.com/movies/?id=1000ae.htm,After Earth,60522097,5/31/13,130000000,9737192,"['Jaden Smith', 'Will Smith']",Sci-Fi,['USA'],0,
http://www.boxofficemojo.com/movies/?id=100foot.htm,The Hundred-Foot Journey,54240821,8/8/14,22000000,4364114,"['Helen Mirren', 'Charlotte LeBon']",Drama,"['India', 'United Arab Emirates', 'USA']",1,
http://www.boxofficemojo.com/movies/?id=11thhour.htm,The 11th Hour,707343,8/17/07,,2457,"['(Narrator)', 'Leonardo DiCaprio*']",Documentary,['USA'],0,
http://www.boxofficemojo.com/movies/?id=127hours.htm,127 Hours,18335230,11/5/10,18000000,12513887,"['Clemence Posey', 'James Franco', 'Treat Williams', 'Amber Tamblyn', 'Lizzy Caplan', 'Kate Mara']",Drama,"['USA', 'UK']",0,
http://www.boxofficemojo.com/movies/?id=13goingon30.htm,13 Going on 30,57231747,4/23/04,37000000,9346533,"['Mark Ruffalo', 'Jennifer Garner']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=1408.htm,1408,71985628,6/22/07,25000000,6482080,"['John Cusack', 'Samuel L. Jackson', 'Tony Shalhoub', 'Mary McCormack']",Horror,['USA'],0,
http://www.boxofficemojo.com/movies/?id=16blocks.htm,16 Blocks,36895141,3/3/06,,4251554,"['Mos Def', 'Bruce Willis']",Action,"['Germany', 'USA']",0,
http://www.boxofficemojo.com/movies/?id=17again.htm,17 Again,64167069,4/17/09,,39465,"['Zac Efron', 'Leslie Mann', 'Michelle Trachtenberg', 'Matthew Perry']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=1dwhereweare.htm,One Direction: Where We Are  - Box Office Mojo,,TBD,,1642207,[],Concert,[],0,
http://www.boxofficemojo.com/movies/?id=20000daysonearth.htm,"20,000 Days on Earth",279558,9/17/14,,849051,"['Nick Cave', 'Susie Bick', 'Warren Ellis', 'Darian Leader']",Documentary,['UK'],0,
http://www.boxofficemojo.com/movies/?id=21.htm,21,81159365,3/28/08,35000000,10886989,"['Kate Bosworth', 'Laurence Fishburne', 'Jim Sturgess', 'Kevin Spacey', 'Josh Gad']",Drama,['USA'],1,
http://www.boxofficemojo.com/movies/?id=21andover.htm,21 and Over,25682380,3/1/13,13000000,3699398,"['Justin Chon', 'Skylar Astin', 'Miles Teller']",Comedy,[],0,
http://www.boxofficemojo.com/movies/?id=21grams.htm,21 Grams,16290476,11/21/03,20000000,4470545,"['Naomi Watts', 'Melissa Leo*', 'Eddie Marsan*', 'Danny Huston', 'Benicio Del Toro', 'Sean Penn']",Drama,['USA'],0,
http://www.boxofficemojo.com/movies/?id=21jumpstreet.htm,21 Jump Street,138447667,3/16/12,42000000,16045775,"['Rob Riggle', 'Dave Franco', '(Cameo)', 'Ellie Kemper', 'Brie Larson', 'Chris Parnell*', 'Jonah Hill', 'Ice Cube', 'Jake Johnson*', 'Channing Tatum', 'Johnny Depp*']",Action,['USA'],0,
http://www.boxofficemojo.com/movies/?id=21jumpstreet2.htm,22 Jump Street,191719337,6/13/14,50000000,31490585,"['Rob Riggle*', 'Peter Stormare', 'Channing Tatum', 'Nick Offerman', 'Jonah Hill', 'Ice Cube', 'Dave Franco*']",Action,['USA'],0,
http://www.boxofficemojo.com/movies/?id=24hourparty.htm,24 Hour Party People,1184096,8/9/02,,379899,"['Shirley Henderson', 'Simon Pegg*', 'Andy Serkis', 'Steve Coogan', 'Paddy Considine']",Drama,['UK'],1,
http://www.boxofficemojo.com/movies/?id=25thhour.htm,25th Hour,13084595,12/19/02,5000000,940502,"['Philip Seymour Hoffman', 'Rosario Dawson', 'Edward Norton', 'Brian Cox', 'Barry Pepper', 'Anna Paquin']",Drama,['USA'],1,
http://www.boxofficemojo.com/movies/?id=27dresses.htm,27 Dresses,76808654,1/18/08,30000000,13458037,"['James Marsden', 'Katherine Heigl', 'Malin Akerman']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=28dayslater.htm,28 Days Later,45064915,6/27/03,8000000,9762194,"['Brendan Gleeson', 'Cillian Murphy', 'Naomie Harris']",Horror,['UK'],1,
http://www.boxofficemojo.com/movies/?id=28weekslater.htm,28 Weeks Later,28638916,5/11/07,,10637970,"['Harold Perrineau', 'Imogen Poots', 'Idris Elba', 'Robert Carlyle', 'Jeremy Renner', 'Rose Byrne', 'Catherine McCormack']",Horror,"['UK', 'Spain']",1,
